movie_id,bag_of_words
1,adventure animation children comedy fantasy cartoon disney pixar timallen tomhanks adventure animated animation buddymovie cgi children classic clever comedy computeranimation family fantasy friendship funny humorous imdbtop250 kids pixar timetravel toy toys witty
2,adventure children fantasy robinwilliams animals badcgi boardgame family fantasy kidflick magicboardgame scary timetravel
3,comedy romance 
4,comedy drama romance 
5,comedy 
6,action crime thriller alpacino losangeles michaelmann natalieportman robertdeniro valkilmer atmospheric bankrobbery careercriminal complexcharacters crime dialogue greatacting gunfight heist imdbtop250 long overrated philosophy police realistic realisticaction suspense tense toolong visceral
7,comedy romance harrisonford basedonaplay remake romance
8,adventure children 
9,action 
10,action adventure thriller 007 bond jamesbond piercebrosnan espionage jamesbond
11,comedy drama romance aaronsorkin romance politics
12,comedy horror leslienielsen spoof
13,adventure animation children 
14,drama 
15,action adventure romance pirates treasure
16,crime drama joepesci mafia martinscorsese robertdeniro sharonstone basedonabook casino corruption gangsters greatperformances imdbtop250 lasvegas mafia mob narrated organizedcrime robertdeniro violent
17,drama romance 18thcentury 19thcentury alanrickman anglee british emmathompson hughgrant janeausten katewinslet period romance adaptedfrom:book basedonabook chickflick costumedrama emotional romance romantic
18,comedy quentintarantino robertrodriguez tarantino timroth darkcomedy hotel multiplestorylines
19,comedy jimcarrey stupidashell comedy detective overthetop sillyfun
20,action comedy crime drama thriller 
21,comedy crime thriller hollywood mafia
22,crime drama horror mystery thriller detective serialkiller suspenseful thriller
23,action crime thriller 
24,drama sci-fi albino
25,drama romance elisabethshue nicolascage nudity(topless) oscar(bestactor) suicide addiction alcoholism atmospheric basedonabook dark depressing drama existential intimate love melancholic prostitution understated
26,drama shakespeare
27,children drama 
28,drama romance janeausten
29,adventure drama fantasy mystery sci-fi darkfantasy jean-pierrejeunet ronperlman santaclaus atmospheric beautiful bleak children dark darkfairytale darkfantasy dreamlike dystopia hallucinatory kidnapping steampunk strange stylized surreal visuallyappealing visuallystunning weird whimsical
30,crime drama 
31,drama education highschool inspirational teacher
32,mystery sci-fi thriller bradpitt british brucewillis postapocalyptic r terrygilliam adventure atmospheric bradpitt brucewillis classic complicated complicatedplot dark dystopia endoftheworld epidemic future genetics greatending imagination imdbtop250 mentalillness mindfuck original post-apocalyptic psychology remake sci-fi timeloop timetravel twistending violence
33,adventure romance imax 
34,children drama animalmovie adventure animals children cute fantasy overrated pigs talkinganimals villainnonexistentornotneededforgoodstory
35,drama romance 
36,crime drama catholicism nun seanpenn susansarandon deathpenalty prison religion truestory
37,documentary imax 
38,children comedy 
39,comedy romance 1990s aliciasilverstone brittanymurphy janeausten paulrudd chickflick fashion funny highschool romance seenmorethanonce silly teen teenmovie teenager
40,drama 
41,drama war 
42,action crime drama 
43,drama 
44,action adventure fantasy fightscenes fighting martialarts videogameadaptation
45,comedy drama thriller darkcomedy
46,drama romance women
