movie_id,title,year,bag_of_words
1,Toy Story,1995,adventure animation children comedy fantasy cartoon disney pixar timallen tomhanks adventure animated animation buddymovie cgi children classic clever comedy computeranimation family fantasy friendship funny humorous imdbtop250 kids pixar timetravel toy toys witty
2,Jumanji,1995,adventure children fantasy robinwilliams animals badcgi boardgame family fantasy kidflick magicboardgame scary timetravel
3,Grumpier Old Men,1995,comedy romance 
4,Waiting to Exhale,1995,comedy drama romance 
5,Father of the Bride Part II,1995,comedy 
6,Heat,1995,action crime thriller alpacino losangeles michaelmann natalieportman robertdeniro valkilmer atmospheric bankrobbery careercriminal complexcharacters crime dialogue greatacting gunfight heist imdbtop250 long overrated philosophy police realistic realisticaction suspense tense toolong visceral
7,Sabrina,1995,comedy romance harrisonford basedonaplay remake romance
8,Tom and Huck,1995,adventure children 
9,Sudden Death,1995,action 
10,GoldenEye,1995,action adventure thriller 007 bond jamesbond piercebrosnan espionage jamesbond
11,"American President, The",1995,comedy drama romance aaronsorkin romance politics
12,Dracula: Dead and Loving It,1995,comedy horror leslienielsen spoof
13,Balto,1995,adventure animation children 
14,Nixon,1995,drama 
15,Cutthroat Island,1995,action adventure romance pirates treasure
16,Casino,1995,crime drama joepesci mafia martinscorsese robertdeniro sharonstone basedonabook casino corruption gangsters greatperformances imdbtop250 lasvegas mafia mob narrated organizedcrime robertdeniro violent
17,Sense and Sensibility,1995,drama romance 18thcentury 19thcentury alanrickman anglee british emmathompson hughgrant janeausten katewinslet period romance adaptedfrom:book basedonabook chickflick costumedrama emotional romance romantic
18,Four Rooms,1995,comedy quentintarantino robertrodriguez tarantino timroth darkcomedy hotel multiplestorylines
19,Ace Ventura: When Nature Calls,1995,comedy jimcarrey stupidashell comedy detective overthetop sillyfun
20,Money Train,1995,action comedy crime drama thriller 
21,Get Shorty,1995,comedy crime thriller hollywood mafia
22,Copycat,1995,crime drama horror mystery thriller detective serialkiller suspenseful thriller
23,Assassins,1995,action crime thriller 
24,Powder,1995,drama sci-fi albino
25,Leaving Las Vegas,1995,drama romance elisabethshue nicolascage nudity(topless) oscar(bestactor) suicide addiction alcoholism atmospheric basedonabook dark depressing drama existential intimate love melancholic prostitution understated
26,Othello,1995,drama shakespeare
27,Now and Then,1995,children drama 
28,Persuasion,1995,drama romance janeausten
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,adventure drama fantasy mystery sci-fi darkfantasy jean-pierrejeunet ronperlman santaclaus atmospheric beautiful bleak children dark darkfairytale darkfantasy dreamlike dystopia hallucinatory kidnapping steampunk strange stylized surreal visuallyappealing visuallystunning weird whimsical
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,crime drama 
31,Dangerous Minds,1995,drama education highschool inspirational teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,mystery sci-fi thriller bradpitt british brucewillis postapocalyptic r terrygilliam adventure atmospheric bradpitt brucewillis classic complicated complicatedplot dark dystopia endoftheworld epidemic future genetics greatending imagination imdbtop250 mentalillness mindfuck original post-apocalyptic psychology remake sci-fi timeloop timetravel twistending violence
33,Wings of Courage,1995,adventure romance imax 
34,Babe,1995,children drama animalmovie adventure animals children cute fantasy overrated pigs talkinganimals villainnonexistentornotneededforgoodstory
35,Carrington,1995,drama romance 
36,Dead Man Walking,1995,crime drama catholicism nun seanpenn susansarandon deathpenalty prison religion truestory
37,Across the Sea of Time,1995,documentary imax 
38,It Takes Two,1995,children comedy 
39,Clueless,1995,comedy romance 1990s aliciasilverstone brittanymurphy janeausten paulrudd chickflick fashion funny highschool romance seenmorethanonce silly teen teenmovie teenager
40,"Cry, the Beloved Country",1995,drama 
41,Richard III,1995,drama war 
42,Dead Presidents,1995,action crime drama 
43,Restoration,1995,drama 
44,Mortal Kombat,1995,action adventure fantasy fightscenes fighting martialarts videogameadaptation
45,To Die For,1995,comedy drama thriller darkcomedy
46,How to Make an American Quilt,1995,drama romance women
47,Seven (a.k.a. Se7en),1995,mystery thriller bradpitt christianity davidfincher gwynethpaltrow kevinspacey morganfreeman psychologicaldrama atmospheric biblical bradpitt crime dark detective disturbing drama gore greatacting greatending greed grim gruesome horror imdbtop250 investigation morganfreeman mystery neo-noir philosophical police powerfulending psychological psychologicalthriller psychology religion serialkiller shocking sins surpriseending thriller twistending twists&turns violence violent
48,Pocahontas,1995,animation children drama musical romance disney animation romance strongfemalelead
49,When Night Is Falling,1995,drama romance 
50,"Usual Suspects, The",1995,crime mystery thriller beniciodeltoro bryansinger crime dark gabrielbyrne kevinspacey newyorkcity oscar(bestsupportingactor) oscarwinner petepostlethwaite caper classic clever complicated conmen conspiracy crime ensemblecast excellentscript flashbacks funny gooddialogs greatacting greatending heist imdbtop250 mindfuck mystery nonlinearstoryline organizedcrime overrated plottwist predictable short-termmemoryloss storytelling surpriseending suspense thriller tricky twistending twists&turns unreliablenarrators violence
51,Guardian Angel,1994,action drama thriller 
52,Mighty Aphrodite,1995,comedy drama romance woodyallen
53,Lamerica,1994,adventure drama 
54,"Big Green, The",1995,children comedy 
55,Georgia,1995,drama 
56,Kids of the Round Table,1995,adventure children comedy fantasy 
57,Home for the Holidays,1995,drama 
58,"Postman, The (Postino, Il)",1994,comedy drama romance italianbittersweetromance poetry poets
59,"Confessional, The (Confessionnal, Le)",1995,drama mystery 
60,"Indian in the Cupboard, The",1995,adventure children fantasy 
61,Eye for an Eye,1996,drama thriller 
62,Mr. Holland's Opus,1995,drama feel-good highschool inspirational music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,comedy crime wayansbrothers
64,Two if by Sea,1996,comedy romance 
65,Bio-Dome,1996,comedy 
66,Lawnmower Man 2: Beyond Cyberspace,1996,action sci-fi thriller 
67,Two Bits,1995,drama 
68,French Twist (Gazon maudit),1995,comedy romance 
69,Friday,1995,comedy icecube
70,From Dusk Till Dawn,1996,action comedy horror thriller georgeclooney harveykeitel nudity(topless-brief) quentintarantino robertrodriguez salmahayek sexualizedviolence tarantino brothers campy cultclassic cultfilm gore horror hostage intense mexico plottwist sobadit'sgood splatter strippers twistending vampire vampires violence
71,Fair Game,1995,action 
72,Kicking and Screaming,1995,comedy drama noahbaumbach
73,"Misérables, Les",1995,drama war 
74,Bed of Roses,1996,drama romance 
75,Big Bully,1996,comedy drama 
76,Screamers,1995,action sci-fi thriller philipk.dick artificialintelligence horror postapocalyptic sci-fi
77,Nico Icon,1995,documentary 
78,"Crossing Guard, The",1995,action crime drama thriller 
79,"Juror, The",1996,drama thriller 
80,"White Balloon, The (Badkonake sefid)",1995,children drama 
81,Things to Do in Denver When You're Dead,1995,crime drama romance 
82,Antonia's Line (Antonia),1995,comedy drama strongwoman
83,Once Upon a Time... When We Were Colored,1995,drama romance 
84,Last Summer in the Hamptons,1995,comedy drama 
85,Angels and Insects,1995,drama romance 
86,White Squall,1996,action adventure drama 
87,Dunston Checks In,1996,children comedy 
88,Black Sheep,1996,comedy 
89,Nick of Time,1995,action thriller johnnydepp
90,The Journey of August King,1995,drama 
92,Mary Reilly,1996,drama horror thriller 
