movie_id,tags
1,cartoon disney pixar timallen tomhanks adventure animated animation buddymovie cgi children classic clever comedy computeranimation family fantasy friendship funny humorous imdbtop250 kids pixar timetravel toy toys witty
2,robinwilliams animals badcgi boardgame family fantasy kidflick magicboardgame scary timetravel
6,alpacino losangeles michaelmann natalieportman robertdeniro valkilmer atmospheric bankrobbery careercriminal complexcharacters crime dialogue greatacting gunfight heist imdbtop250 long overrated philosophy police realistic realisticaction suspense tense toolong visceral
7,harrisonford basedonaplay remake romance
10,007 bond jamesbond piercebrosnan espionage jamesbond
11,aaronsorkin romance politics
12,leslienielsen spoof
15,pirates treasure
16,joepesci mafia martinscorsese robertdeniro sharonstone basedonabook casino corruption gangsters greatperformances imdbtop250 lasvegas mafia mob narrated organizedcrime robertdeniro violent
17,18thcentury 19thcentury alanrickman anglee british emmathompson hughgrant janeausten katewinslet period romance adaptedfrom:book basedonabook chickflick costumedrama emotional romance romantic
18,quentintarantino robertrodriguez tarantino timroth darkcomedy hotel multiplestorylines
19,jimcarrey stupidashell comedy detective overthetop sillyfun
21,hollywood mafia
22,detective serialkiller suspenseful thriller
24,albino
25,elisabethshue nicolascage nudity(topless) oscar(bestactor) suicide addiction alcoholism atmospheric basedonabook dark depressing drama existential intimate love melancholic prostitution understated
26,shakespeare
28,janeausten
29,darkfantasy jean-pierrejeunet ronperlman santaclaus atmospheric beautiful bleak children dark darkfairytale darkfantasy dreamlike dystopia hallucinatory kidnapping steampunk strange stylized surreal visuallyappealing visuallystunning weird whimsical
31,education highschool inspirational teacher
32,bradpitt british brucewillis postapocalyptic r terrygilliam adventure atmospheric bradpitt brucewillis classic complicated complicatedplot dark dystopia endoftheworld epidemic future genetics greatending imagination imdbtop250 mentalillness mindfuck original post-apocalyptic psychology remake sci-fi timeloop timetravel twistending violence
34,animalmovie adventure animals children cute fantasy overrated pigs talkinganimals villainnonexistentornotneededforgoodstory
36,catholicism nun seanpenn susansarandon deathpenalty prison religion truestory
39,1990s aliciasilverstone brittanymurphy janeausten paulrudd chickflick fashion funny highschool romance seenmorethanonce silly teen teenmovie teenager
44,fightscenes fighting martialarts videogameadaptation
45,darkcomedy
46,women
47,bradpitt christianity davidfincher gwynethpaltrow kevinspacey morganfreeman psychologicaldrama atmospheric biblical bradpitt crime dark detective disturbing drama gore greatacting greatending greed grim gruesome horror imdbtop250 investigation morganfreeman mystery neo-noir philosophical police powerfulending psychological psychologicalthriller psychology religion serialkiller shocking sins surpriseending thriller twistending twists&turns violence violent
48,disney animation romance strongfemalelead
50,beniciodeltoro bryansinger crime dark gabrielbyrne kevinspacey newyorkcity oscar(bestsupportingactor) oscarwinner petepostlethwaite caper classic clever complicated conmen conspiracy crime ensemblecast excellentscript flashbacks funny gooddialogs greatacting greatending heist imdbtop250 mindfuck mystery nonlinearstoryline organizedcrime overrated plottwist predictable short-termmemoryloss storytelling surpriseending suspense thriller tricky twistending twists&turns unreliablenarrators violence
52,woodyallen
58,italianbittersweetromance poetry poets
62,feel-good highschool inspirational music
63,wayansbrothers
69,icecube
70,georgeclooney harveykeitel nudity(topless-brief) quentintarantino robertrodriguez salmahayek sexualizedviolence tarantino brothers campy cultclassic cultfilm gore horror hostage intense mexico plottwist sobadit'sgood splatter strippers twistending vampire vampires violence
72,noahbaumbach
76,philipk.dick artificialintelligence horror postapocalyptic sci-fi
82,strongwoman
89,johnnydepp
94,natalieportman umathurman
95,johntravolta military nuclearbomb stealthaircraft
97,angry blackandwhite bleak confrontational cynical disturbing french ghetto gritty paris racism realistic socialcommentary
101,wesanderson off-beatcomedy quirky
104,adamsandler bobbarker comedy golf sports
105,merylstreep affair
107,timcurry muppets pirates treasure
110,biography history medieval melgibson nudity(topless) oscar(bestcinematography) oscar(bestdirecting) oscar(bestpicture) scotland action basedonatruestory beautifulscenery british classic drama england epic freedom historical historicallyinaccurate imdbtop250 independence inspirational long medieval melgibson overrated revenge revolution scotland scottishindependence swordfight violent war
111,classic cybillshepherd goldenpalm harveykeitel jodiefoster martinscorsese newyorkcity robertdeniro alienation anti-hero assassination atmospheric boring classic cultfilm dark disturbing drugdealer forceful grim ideology illegalprostitution imdbtop250 insanity loneliness loner masterpiece mentalillness neo-noir overrated paranoid prostitution psychology psychopath psychopaths robertdeniro serialkiller socialcommentary vigilante vigilantism visceral
112,jackiechan fightscenes kungfu martialarts
116,holocaust truestory
121,childabuse
123,criterion hongkong dreamlike goodmusic loneliness lyrical melancholy reflective stylized
135,submarine
141,gaystereotypes genehackman robinwilliams comedy crossdressing dragqueens gay queer remake
145,michaelbay willsmith action
147,leonardodicaprio markwahlberg newyorkcity addiction basedonabook basedonatruestory drugs escape heroin intense truestory
150,garysinise history kevinbacon nasa oscarnominee:bestpicture tomhanks astronauts basedonabook basedonatruestory catastrophe disaster drama dramatic engineering historical moon space spaceprogram stranded suspense tense truestory
151,18thcentury scotland highlands swordfight
153,batman dccomics jimcarrey joelschumacher nicolekidman tommyleejones valkilmer comicbook design franchise rubbernipples sequel super-hero superhero
157,politics
158,christinaricci family ghost ghosts
161,denzelwashington genehackman mutiny nuclear submarine tense war
162,artistmind documentary
163,antoniobanderas robertrodriguez salmahayek stevebuscemi action organizedcrime romance violence
165,brucewillis jeremyirons newyorkcity samuell.jackson action actionpacked alwayswatchitwhenit'sontv brucewillis heist lonehero plotpoint:solvingriddles/puzzles predictable terrorism thriller violent
168,seanconnery
169,family
170,angelinajolie awesomesoundtrack campy cheesy computers cultfilm cyberpunk geek geeks hacker hackers hacking highschool inaccurate internet videogames
171,gay
172,henryrollins keanureeves sci-fi williamgibson cyberpunk dystopia future futuristic hackers memory technology
173,robschneider sylvesterstallone cheesylines comicbook dystopia future futuristic police policecorruption sci-fi
175,aids newyorkcity nudity(fullfrontal) authentic controversial drugs indecent teen teenagers youthgonewild
176,stevebuscemi indie meta-indie
180,1990s jayandsilentbob kevinsmith crudehumor gooddialogue viewaskew
185,sandrabullock computers cyber-intimidation hackers hacking internet simplistic unrealistic
186,robinwilliams hughgrant
188,christianity christopherwalken religion
193,lasvegas nudity(fullfrontal) boobs campy dull overacting raunchy sexual sobadit'sgood strippers
194,newyorkcity ensemblecast multiplestorylines
196,nudity(topless-notable) nudity(topless) alien aliens
198,angelabassett jamescameron juliettelewis nudity(topless) ralphfiennes sciencefiction corruption cyberpunk dark femalenudity future futuristic memory mindfuck police policecorruption rape sci-fi strange virtualreality
199,french bittersweet musical notablesoundtrack
203,dragqueens homophobia queer roadtrip
204,action
208,kevincostner adventure apocalypse darkhero dystopia ocean post-apocalyptic steampunk stupid survival
215,austria juliedelpy richardlinklater vienna bittersweet conversation dialogue dialoguedriven ethanhawke generationx intelligent literate lovestory minimalist philosophical philosophy poignant quirky reflective romance romantic thought-provoking touching trains wistful witty
216,adamsandler school stupid
218,unlikelyfriendships women
223,directorialdebut kevinsmith badacting blackandwhite conveniencestore crudehumor cynical dialoguedriven funny gooddialogue greatdialogue hilarious independentfilm irreverent jayandsilentbob lowbudget minimalist newjersey quirky slackers surreal viewaskew witty
224,johnnydepp fantasy mentalillness romance
225,michaelcrichton
231,buddymovie jeffdaniels jimcarrey comedy dumb goofy hilarious jimcarrey protagonistisanidiot quirky roadtrip silly slapstick stupid stupidity toilethumor veryfunny
232,anglee aging cooking food food/cooking relationships
235,billmurray biography biopic johnnydepp martinlandau oscar(bestsupportingactor) sarahjessicaparker timburton blackandwhite crossdressing filmnoir moviebusiness quirky truestory witty
236,romantic
242,opera
246,basketball documentary sports
247,katewinslet newzealand peterjackson basedonatruestory disturbing lesbian stylized surreal surrealism visceral
253,antoniobanderas bradpitt kirstendunst neworleans nudity(fullfrontal) paris tomcruise adaptedfrom:book annerice atmospheric basedonabook bradpitt cultclassic drama fantasy gothic horror tomcruise vampire vampires
256,arnoldschwarzenegger arnold pregnantman
260,"1970s 70s afunintroductiontotheepicfilmserieswhichwillkeepyouontheedgeofyourseatduringthegoodvsevilbattles.fantasticspecialeffects,incrediblecharactersandfuturisticlandscapes. action actioncomedy adventure akirakurosawa alecguinness badacting boring carriefisher cheesyspaceopera,classic classic cool cult epic epic everynerdshouldhaveseenmorethanonce galaxy georgelucas harrisonford innovative jamesearljones johnwilliams markhamill notmything oscar(besteffects-visualeffects) overrated robotsandandroids spacetravel sci-fi sciencefiction space starwars action actionadventure action,scifi adventure aliens amazing atmospheric awesome awesomesoundtrack bestmovieever birthofgreatscifiideas blockbuster boring c3po classic classicadventure classicsci-fi comedy comingofage cosmos cult cultclassic cultfilm darthvader deathstar deepuniverse drama entertaining epic epicadventure exciting fairytale family fantastic fantasy fantasyaction farfuture father-sonrelationship fiction franchise fun funny future futurefantasy futuristic galactic geeky goodacting goodcharacters goodforkids goodsciencefiction goodsciencefictionaltechnology goodstory goodversusevil goodvsevil greatsoundtrack greatstory greatvisualeffects hansolo hero hero'sjourney heroicjourney imaginaryworld,characters,story,philosophical imaginative imdbtop250 incest inspiring interesting jedi josephcampbell'sstudyofmythologyinfluenced legendary lightsabers lukeskywalker masterpiece mustsee mythology nerdy obiwankenobi old oldfxquality oldmovie oldiebutgoodie oldschool originalplot outdated practicaleffects quotable robots romance saga scifi sci-fi sci-fi,space sciencefantasy sciencefiction scifi scificult sequel series sf,sciencefiction soundtrack space spaceaction spaceadventure spacecombat spaceepic spaceepic,sciencefiction,hero'sjourney spaceopera spacetravel spacewestern spaceships specialeffects starwars starshippilots starwars stylized supernaturalpowers swordfight theclassicscifimovie.mustsee. theforce thisisthearchetypal'goodsci-fiaction'movie.itsimplydoesn'tgetbetterthanthis. toolong trilogy underdogstory universe war"
261,basedonabook
262,boardingschool imagination
265,bittersweet magic magicrealism
266,anthonyhopkins bradpitt romance emotional
267,comedy
272,biopic revolution
277,christmas
282,jodiefoster liamneeson natasharichardson
288,nativeamericans robertdowneyjr. woodyharrelson brutal brutality controversial darkcomedy hallucinatory love mindfuck paranoid prison psychedelic roadtrip satire serialkiller socialcommentary stylized stylizedviolence ultra-violence violence violent visceral
290,abuse alcoholism brutality maori rape strongwomen
292,disease epidemic
293,action french garyoldman guns jeanreno lolitatheme lucbesson natalieportman assassin assassin-in-training assassination assassins awkwardromance beautiful complexrelationship corruption creepy crime darkhero disturbing drama easilyconfusedwithothermovie(s)(title) friendship greatacting guns hitmen hitman humorous imdbtop250 loneliness lovestory organizedcrime police policecorruption quirky revenge rewatch sniper tense touching unique
