movie_id,title,year,bag_of_words
1,Toy Story,1995,adventure animation children comedy fantasy cartoon disney pixar timallen tomhanks adventure animated animation buddymovie cgi children classic clever comedy computeranimation family fantasy friendship funny humorous imdbtop250 kids pixar timetravel toy toys witty
2,Jumanji,1995,adventure children fantasy robinwilliams animals badcgi boardgame family fantasy kidflick magicboardgame scary timetravel
6,Heat,1995,action crime thriller alpacino losangeles michaelmann natalieportman robertdeniro valkilmer atmospheric bankrobbery careercriminal complexcharacters crime dialogue greatacting gunfight heist imdbtop250 long overrated philosophy police realistic realisticaction suspense tense toolong visceral
7,Sabrina,1995,comedy romance harrisonford basedonaplay remake romance
10,GoldenEye,1995,action adventure thriller 007 bond jamesbond piercebrosnan espionage jamesbond
11,"American President, The",1995,comedy drama romance aaronsorkin romance politics
12,Dracula: Dead and Loving It,1995,comedy horror leslienielsen spoof
15,Cutthroat Island,1995,action adventure romance pirates treasure
16,Casino,1995,crime drama joepesci mafia martinscorsese robertdeniro sharonstone basedonabook casino corruption gangsters greatperformances imdbtop250 lasvegas mafia mob narrated organizedcrime robertdeniro violent
17,Sense and Sensibility,1995,drama romance 18thcentury 19thcentury alanrickman anglee british emmathompson hughgrant janeausten katewinslet period romance adaptedfrom:book basedonabook chickflick costumedrama emotional romance romantic
18,Four Rooms,1995,comedy quentintarantino robertrodriguez tarantino timroth darkcomedy hotel multiplestorylines
19,Ace Ventura: When Nature Calls,1995,comedy jimcarrey stupidashell comedy detective overthetop sillyfun
21,Get Shorty,1995,comedy crime thriller hollywood mafia
22,Copycat,1995,crime drama horror mystery thriller detective serialkiller suspenseful thriller
25,Leaving Las Vegas,1995,drama romance elisabethshue nicolascage nudity(topless) oscar(bestactor) suicide addiction alcoholism atmospheric basedonabook dark depressing drama existential intimate love melancholic prostitution understated
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,adventure drama fantasy mystery sci-fi darkfantasy jean-pierrejeunet ronperlman santaclaus atmospheric beautiful bleak children dark darkfairytale darkfantasy dreamlike dystopia hallucinatory kidnapping steampunk strange stylized surreal visuallyappealing visuallystunning weird whimsical
31,Dangerous Minds,1995,drama education highschool inspirational teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,mystery sci-fi thriller bradpitt british brucewillis postapocalyptic r terrygilliam adventure atmospheric bradpitt brucewillis classic complicated complicatedplot dark dystopia endoftheworld epidemic future genetics greatending imagination imdbtop250 mentalillness mindfuck original post-apocalyptic psychology remake sci-fi timeloop timetravel twistending violence
34,Babe,1995,children drama animalmovie adventure animals children cute fantasy overrated pigs talkinganimals villainnonexistentornotneededforgoodstory
36,Dead Man Walking,1995,crime drama catholicism nun seanpenn susansarandon deathpenalty prison religion truestory
39,Clueless,1995,comedy romance 1990s aliciasilverstone brittanymurphy janeausten paulrudd chickflick fashion funny highschool romance seenmorethanonce silly teen teenmovie teenager
44,Mortal Kombat,1995,action adventure fantasy fightscenes fighting martialarts videogameadaptation
47,Seven (a.k.a. Se7en),1995,mystery thriller bradpitt christianity davidfincher gwynethpaltrow kevinspacey morganfreeman psychologicaldrama atmospheric biblical bradpitt crime dark detective disturbing drama gore greatacting greatending greed grim gruesome horror imdbtop250 investigation morganfreeman mystery neo-noir philosophical police powerfulending psychological psychologicalthriller psychology religion serialkiller shocking sins surpriseending thriller twistending twists&turns violence violent
48,Pocahontas,1995,animation children drama musical romance disney animation romance strongfemalelead
50,"Usual Suspects, The",1995,crime mystery thriller beniciodeltoro bryansinger crime dark gabrielbyrne kevinspacey newyorkcity oscar(bestsupportingactor) oscarwinner petepostlethwaite caper classic clever complicated conmen conspiracy crime ensemblecast excellentscript flashbacks funny gooddialogs greatacting greatending heist imdbtop250 mindfuck mystery nonlinearstoryline organizedcrime overrated plottwist predictable short-termmemoryloss storytelling surpriseending suspense thriller tricky twistending twists&turns unreliablenarrators violence
58,"Postman, The (Postino, Il)",1994,comedy drama romance italianbittersweetromance poetry poets
62,Mr. Holland's Opus,1995,drama feel-good highschool inspirational music
70,From Dusk Till Dawn,1996,action comedy horror thriller georgeclooney harveykeitel nudity(topless-brief) quentintarantino robertrodriguez salmahayek sexualizedviolence tarantino brothers campy cultclassic cultfilm gore horror hostage intense mexico plottwist sobadit'sgood splatter strippers twistending vampire vampires violence
76,Screamers,1995,action sci-fi thriller philipk.dick artificialintelligence horror postapocalyptic sci-fi
94,Beautiful Girls,1996,comedy drama romance natalieportman umathurman
95,Broken Arrow,1996,action adventure thriller johntravolta military nuclearbomb stealthaircraft
97,"Hate (Haine, La)",1995,crime drama angry blackandwhite bleak confrontational cynical disturbing french ghetto gritty paris racism realistic socialcommentary
101,Bottle Rocket,1996,adventure comedy crime romance wesanderson off-beatcomedy quirky
104,Happy Gilmore,1996,comedy adamsandler bobbarker comedy golf sports
105,"Bridges of Madison County, The",1995,drama romance merylstreep affair
107,Muppet Treasure Island,1996,adventure children comedy musical timcurry muppets pirates treasure
110,Braveheart,1995,action drama war biography history medieval melgibson nudity(topless) oscar(bestcinematography) oscar(bestdirecting) oscar(bestpicture) scotland action basedonatruestory beautifulscenery british classic drama england epic freedom historical historicallyinaccurate imdbtop250 independence inspirational long medieval melgibson overrated revenge revolution scotland scottishindependence swordfight violent war
111,Taxi Driver,1976,crime drama thriller classic cybillshepherd goldenpalm harveykeitel jodiefoster martinscorsese newyorkcity robertdeniro alienation anti-hero assassination atmospheric boring classic cultfilm dark disturbing drugdealer forceful grim ideology illegalprostitution imdbtop250 insanity loneliness loner masterpiece mentalillness neo-noir overrated paranoid prostitution psychology psychopath psychopaths robertdeniro serialkiller socialcommentary vigilante vigilantism visceral
112,Rumble in the Bronx (Hont faan kui),1995,action adventure comedy crime jackiechan fightscenes kungfu martialarts
116,Anne Frank Remembered,1995,documentary holocaust truestory
123,Chungking Express (Chung Hing sam lam),1994,drama mystery romance criterion hongkong dreamlike goodmusic loneliness lyrical melancholy reflective stylized
141,"Birdcage, The",1996,comedy gaystereotypes genehackman robinwilliams comedy crossdressing dragqueens gay queer remake
145,Bad Boys,1995,action comedy crime drama thriller michaelbay willsmith action
147,"Basketball Diaries, The",1995,drama leonardodicaprio markwahlberg newyorkcity addiction basedonabook basedonatruestory drugs escape heroin intense truestory
150,Apollo 13,1995,adventure drama imax garysinise history kevinbacon nasa oscarnominee:bestpicture tomhanks astronauts basedonabook basedonatruestory catastrophe disaster drama dramatic engineering historical moon space spaceprogram stranded suspense tense truestory
151,Rob Roy,1995,action drama romance war 18thcentury scotland highlands swordfight
153,Batman Forever,1995,action adventure comedy crime batman dccomics jimcarrey joelschumacher nicolekidman tommyleejones valkilmer comicbook design franchise rubbernipples sequel super-hero superhero
158,Casper,1995,adventure children christinaricci family ghost ghosts
161,Crimson Tide,1995,drama thriller war denzelwashington genehackman mutiny nuclear submarine tense war
162,Crumb,1994,documentary artistmind documentary
163,Desperado,1995,action romance western antoniobanderas robertrodriguez salmahayek stevebuscemi action organizedcrime romance violence
