movie_id,bag_of_words
1,adventure animation children comedy fantasy pixar pixar fun
2,adventure children fantasy fantasy magicboardgame robinwilliams game
3,comedy romance moldy old
4,comedy drama romance 
5,comedy pregnancy remake
6,action crime thriller 
7,comedy romance remake
8,adventure children 
9,action 
10,action adventure thriller 
11,comedy drama romance politics president
12,comedy horror 
13,adventure animation children 
14,drama politics president
15,action adventure romance 
16,crime drama mafia
17,drama romance janeausten
18,comedy 
19,comedy 
20,action comedy crime drama thriller 
21,comedy crime thriller hollywood
22,crime drama horror mystery thriller serialkiller
23,action crime thriller 
24,drama sci-fi 
25,drama romance alcoholism
26,drama shakespeare
27,children drama 
28,drama romance innetflixqueue janeausten
29,adventure drama fantasy mystery sci-fi kidnapping
30,crime drama 
31,drama highschool teacher
32,mystery sci-fi thriller timetravel timetravel bradpitt brucewillis mindfuck postapocalyptic post-apocalyptic remake timetravel twistending
34,children drama animalmovie pigs villainnonexistentornotneededforgoodstory
36,crime drama deathpenalty nun
38,children comedy twins
39,comedy romance chickflick funny paulrudd quotable seenmorethanonce emma janeausten
40,drama innetflixqueue southafrica
41,drama war shakespeare
42,action crime drama 
43,drama england
44,action adventure fantasy 
45,comedy drama thriller journalism
46,drama romance wedding
47,mystery thriller mystery twistending serialkiller
48,animation children drama musical romance 
49,drama romance 
50,crime mystery thriller mindfuck suspense thriller tricky twistending heist
52,comedy drama romance adoption prostitution
53,adventure drama 
54,children comedy 
55,drama 
57,drama 
58,comedy drama romance writing
60,adventure children fantasy 
61,drama thriller 
62,drama music
63,comedy crime 
64,comedy romance 
65,comedy 
66,action sci-fi thriller 
68,comedy romance 
69,comedy 
70,action comedy horror thriller 
71,action 
72,comedy drama 
73,drama war 
74,drama romance 
75,comedy drama 
76,action sci-fi thriller 
77,documentary 
78,action crime drama thriller 
79,drama thriller 
80,children drama 
81,crime drama romance 
82,comedy drama 
83,drama romance 
85,drama romance 
86,action adventure drama 
87,children comedy 
88,comedy 
89,action thriller 
92,drama horror thriller jekyllandhyde
93,comedy horror romance 
94,comedy drama romance 
95,action adventure thriller 
96,comedy drama theater
97,crime drama 
99,documentary 
100,drama thriller 
101,adventure comedy crime romance crime off-beatcomedy quirky
102,comedy 
103,mystery sci-fi thriller 
104,comedy testtag golf adamsandler
105,drama romance 
106,comedy drama 
107,adventure children comedy musical muppets
108,documentary 
110,action drama war beautifulscenery epic historical inspirational medieval melgibson oscar(bestcinematography) revenge swordfight scotland
111,crime drama thriller assassination
1416,drama musical andrewlloydweber
112,action adventure comedy crime 
113,drama mystery 
116,documentary holocaust
117,crime drama 
118,comedy romance 
119,comedy 
121,drama 
122,comedy romance dating
123,drama mystery romance 
125,comedy 
126,adventure children fantasy 
128,documentary 
129,comedy romance 
132,thriller 
135,comedy 
137,documentary 
140,drama romance journalism
141,comedy 
144,comedy 
145,action comedy crime drama thriller 
146,adventure children 
147,drama addiction heroin leonardodicaprio markwahlberg
148,drama 
149,crime drama thriller 
150,adventure drama imax moon nasa space
151,action drama romance war 
152,drama horror 
153,action adventure comedy crime superhero superhero
154,drama 
155,adventure drama war 
156,comedy drama 
157,comedy war 
158,adventure children 
159,crime drama mystery 
160,action adventure mystery sci-fi michaelcrichton
161,drama thriller war submarine
162,documentary innetflixqueue
163,action romance western 
164,crime film-noir mystery thriller 
165,action crime thriller 
166,comedy crime drama 
168,action drama romance 
169,adventure children drama 
170,action adventure crime thriller 
171,comedy drama 
172,action sci-fi thriller 
173,action crime sci-fi 
174,comedy 
175,drama controversial newyorkcity nudity(fullfrontal)
176,comedy 
177,horror 
178,comedy drama 
179,drama romance 
180,comedy romance 
181,action children 
183,comedy horror thriller 
184,drama 
185,action crime thriller computers
186,comedy romance 
187,comedy 
188,fantasy horror mystery 
189,comedy fantasy 
190,thriller 
191,drama romance 
193,drama 
194,comedy drama 
195,comedy drama romance 
196,horror sci-fi 
198,action crime drama mystery sci-fi thriller 
199,drama musical romance mademecry
201,drama fantasy 
202,drama romance 
203,comedy 
204,action 
205,comedy drama 
206,documentary 
207,drama romance 
208,action adventure sci-fi 
209,drama 
210,western 
211,drama 
212,adventure comedy crime mystery 
213,drama 
214,drama war 
215,drama romance generationx
216,comedy school adamsandler stoplookingatmeswan
217,drama thriller 
218,comedy drama 
219,drama 
220,horror 
222,drama romance ireland
223,comedy cynical hilarious independentfilm quirky witty generationx
224,comedy drama romance mentalillness psychology
225,drama thriller 
227,action thriller 
228,comedy 
229,drama thriller 
230,drama thriller stephenking
231,adventure comedy 
232,comedy drama romance innetflixqueue
233,drama 
234,comedy 
235,comedy drama moviebusiness
236,action comedy romance 
237,comedy romance basketball france infertility
238,adventure children 
239,animation children comedy romance 
240,thriller 
241,children drama 
242,drama musical 
243,children comedy fantasy 
246,documentary basketball
247,crime drama australia
248,comedy bad sinbad
249,drama romance beethoven
250,children comedy 
251,action 
252,comedy romance einstein
253,drama horror 
254,drama 
255,comedy 
256,comedy sci-fi 
257,mystery thriller court
258,adventure children comedy fantasy romance 
259,crime drama thriller 
260,action adventure sci-fi classic spaceaction action sci-fi epic greatsoundtrack classicsci-fi engrossingadventure epic classic nerd classicsci-fi spaceaction spaceepic oldiebutgoodie sci-fi starwars robotsandandroids space classicsci-fi sci-fi spaceadventure starwars darthvader lukeskywalker spaceopera
261,drama louisamayalcott
