movie_id,tags
60756,funny highlyquotable willferrell comedy funny willferrell funny willferrell
89774,boxingstory mma tomhardy
106782,drugs leonardodicaprio martinscorsese stockmarket wallstreet
48516,waytoolong leonardodicaprio suspense twistending undercovercop atmospheric jacknicholson leonardodicaprio martinscorsese suspense
431,alpacino gangster mafia
1221,alpacino mafia mafia
5995,holocaust truestory holocaust
44665,twistending
52604,anthonyhopkins courtroomdrama twistending
88094,britpop indierecordlabel music
144210,dumpsterdiving sustainability
1569,romanticcomedy wedding weddings
118985,painter
119141,bloody bromance comedy funny jamesfranco sethrogen
109487,blackhole sci-fi time-travel christophernolan sci-fi time-travel baddialogue philosophicalissues thought-provoking visuallyappealing
2,fantasy magicboardgame robinwilliams game
110,beautifulscenery epic historical inspirational medieval melgibson oscar(bestcinematography) revenge swordfight scotland
410,blackcomedy christinaricci christopherlloyd darkcomedy family gothic
2023,alpacino andygarcia classic francisfordcoppola mafia
2124,blackcomedy christinaricci christopherlloyd family gothic quirky
2953,family funny macaulayculkin sequel
3114,animation disney funny original pixar sequel tomhanks pixar
3578,ancientrome epic history imdbtop250 revenge rome russellcrowe romans
4223,edharris judelaw rachelweisz sniper worldwarii
5388,alpacino atmospheric hilaryswank robinwilliams atmospheric insomnia thought-provoking
6058,sequel violent
6534,dogs ericbana madscientist marvel
6541,captainnemo comicbook gothic petawilson seanconnery superhero
6564,adventure angelinajolie heroineintightsuit
7153,adventure ensemblecast fantasy fantasyworld greatsoundtrack lordoftherings scenic stylized tolkien tolkein
8641,hilarious stevecarell willferrell stupid awesome comedy willferrell
27660,animation anime cyberpunk dark matrix sci-fi
27706,darkcomedy jimcarrey merylstreep quirky stylized
27808,adamsandler family sweet
27831,britishgangster confusing danielcraig exquisiteplotting. organizedcrime stylish tomhardy
31658,anime fantasyworld hayaomiyazaki studioghibli 06oscarnominatedbestmovie-animation innetflixqueue
33162,davidthewlis evagreen liamneeson orlandobloom
34150,chrisevans comicbook heroineintightsuit jessicaalba sexyfemalescientist superhero
37729,gothic helenabonhamcarter johnnydepp timburton visuallyappealing animation 06oscarnominatedbestmovie-animation
38061,blackcomedy clever fast-paceddialogue gooddialogue robertdowneyjr. witty innetflixqueue
45447,adventure audreytautou conspiracytheory mystery paris tomhanks treasurehunt
46723,bradpitt cateblanchett multiplestorylines socialcommentary
46972,benstiller robinwilliams
46976,emmathompson maggiegyllenhaal modernfantasy romance surreal willferrell
49130,marioncotillard
49530,africa corruption jenniferconnelly justice leonardodicaprio
53464,badacting badjokes badplot chrisevans jessicaalba marvel sexyfemalescientist
58047,rachelweisz ryanreynolds
59501,fantasy lion narnia tildaswinton
60074,badscript charlizetheron willsmith
60126,annehathaway stevecarell
61024,comedy jamesfranco sethrogen stonermovie
63992,audienceintelligenceunderestimated boring chickflick overrated teenmovie
68848,adrienbrody conartists funny interestingcharacters markruffalo rachelweisz
71535,billmurray darkcomedy emmastone funny jesseeisenberg woodyharrelson
87430,audienceintelligenceunderestimated cgi cheesy comicbook dc dccomics ryanreynolds space superhero
88405,comedy funny happyending hotactress justintimberlake milakunis newyorkcity romance sex
96861,istanbul liamneeson predictable turkey unnecessarysequel
99114,action christophwaltz funny goodsoundtrack greatperformances humour leonardodicaprio quentintarantino samuell.jackson soundtrack western soundtrack
103042,amyadams superhero
104863,danielradcliffe zoekazan
107348,comedy stevecarell stupidbutfunny willferrell
108190,anti-intellectual badwriting dystopia newsociety plotholes predictable scifi unintelligent
111743,charlizetheron liamneeson sethmacfarlane witty
114180,action dystopia plotholes post-apocalyptic survival thriller unexplained weakplot
115149,darkhero gun-fu keanureeves revenge secretsociety stylish action killer widows/widowers
116897,blackcomedy darkcomedy darkhumor ironic multipleshortstories shortstories
122912,comicbook dr.strange greatvillain guardiansofthegalaxy marvel mcu robertdowneyjr. thanos thor visuallystunning dark emotional sad visuallyappealing visuallystunning
128360,characters dialogue humor kurtrussell quentintarantino samuell.jackson tensionbuilding violent western
135133,dystopia jenniferlawrence lovestory nonsense politics rebellion revolution
135518,benkingsley ethics immortality ryanreynolds
135536,badstory badwriting batman benaffleck comicbook dccomics goodsoundtrack harleyquinn harleyquinn'sass horribledirecting jaredleto joker lackofplot margotrobbie poorstory poorlypaced superhero visuallyappealing willsmith
136864,action batman benaffleck dark dccomics galgadot superhero superman wonderwoman
139385,leonardodicarpio survival tomhardy visuallyappealing cinematography visuallyappealing visuallystriking
158966,buildingafamily creative freedom goodwriting individualism viggomortensen
168248,action darkhero guntactics hitman keanureeves organizedcrime secretsociety heroicbloodshed
174053,dystopia future interesting jonhamm thoughtprovoking
179401,action comedy dwaynejohnson funny
183611,comedy funny rachelmcadams
184471,adventure aliciavikander videogameadaptation
187593,joshbrolin ryanreynolds sarcasm
187595,emiliaclarke starwars
260,classic spaceaction action sci-fi epic greatsoundtrack classicsci-fi engrossingadventure epic classic nerd classicsci-fi spaceaction spaceepic oldiebutgoodie sci-fi starwars robotsandandroids space classicsci-fi sci-fi spaceadventure starwars darthvader lukeskywalker spaceopera
296,gooddialogue greatsoundtrack non-linear cultfilm drugs quentintarantino tarantino hitmen 1990s achronological action actionpacked aggressive amazing amazingdialogues anthology assassin atmospheric awesome badass badlanguage bad-ass bible biblicalreferences bigboyswithguns bignameactors blackcomedy blackhumor blackhumour blood bloodsplatters bloody brucewillis brutality casualviolence characterdevelopment characters classic classicmovie coke comedy conversation cool coolstyle crime crimescenescrubbing cult cultclassic cultfilm dance dancing dark darkcomedy darkhumor dialogue different diner disjointedtimeline disturbing drama drugoverdose drugs drugs&music ensemblecast entertaining entirelydialogue episodic exciting fastpaced fast-paced filmnoir film-noir foullanguage fun funny gangster gangsters genius goldenwatch gooddialogue goodmusic gore greatacting greatdialogue greatsoundtrack gritty guns harveykeitel heroin highlyquotable hitmen hitman homosexuality humour iconic imdbtop250 innovative intellectual intelligent intense interesting intertwiningstorylines interwovenstorylines ironic irony johntravolta killer-as-protagonist losangeles mafia masterpiece meaninglessviolence milkshake mobster mobsters monologue motherfucker multiplestories multiplestorylines neo-noir noir non-linear non-lineartimeline nonlinear nonlinearnarrative nonlinearstoryline nonlineartimeline notablesoundtrack offensive organisedcrime organizedcrime original originalplot outoforder palmed'or parody philosophical popculturereferences psychological pulp quentintarantino quirky quotable r:disturbingviolentcontentincludingrape r:disturbingviolentimages r:graphicsexuality r:someviolence r:strongbloodyviolence r:stronglanguage r:sustainedstrongstylizedviolence r:violence random rape retro rogeravary royalwithcheese samuell.jackson sarcasm satire sexy smartwriting sophisticated soundtrack splatter stevebuscemi storytelling stylish stylized suspense tarantino thought-provoking thriller travolta twistending umathurman unique unpredictable unusual veryfunny violence violent witty
4896,everythingyouwantishere alanrickman harrypotter humorous magic magic wizards
106489,adventure fantasy tolkien toolong
101142,animation funny stoneage
115617,animation kids robots feel-good funfamilymovie veryfunny
120635,action murder police
1726,kevincostner postapocalyptic
2387,darkcomedy darkhumor
3052,irreverent jayandsilentbob kevinsmith satire religion
5088,irreverent
7022,basedonabook bloody brutal controversial dystopia goretastic satire socialcommentary survival violence
7254,alternatereality sci-fi sciencefiction timetravel
8957,brutal clever disturbing greatending mindfuck surpriseending suspense
9010,cruelcharacters
42632,brutality
58301,darkhumor dark darkhumor intelligent thought-provoking
60950,threesome
62434,sethrogen sexualhumor
67695,sethrogen
100083,embarassingscenes offensive rlanguage sarcasm satire
156371,80's
158872,crudehumor mindfuck sarcasm satire vulgar
3556,sofiacoppola 1970s suicide
6323,johncusack
6367,ewanmcgregor reneezellweger retro
59103,jackiechan kungfu
52287,somethingforeveryoneinthisone...sawitwithoutandplanonseeingitwithkids!
293,assassin jeanreno hitmen action assassin assassination assassins awkwardromance corruption crime disturbing drama french friendship garyoldman greatacting guns hitmen hitman humorous imdbtop250 jeanreno lolitatheme loneliness lovestory lucbesson natalieportman organizedcrime police policecorruption quirky sniper tense touching unique
54286,assassin assassin-in-training(scene) espionage robertludlum
104,testtag golf adamsandler
2579,blackandwhite christophernolan directorialdebut mindfuck notlinear twistending blackandwhite
3793,action comicbook hughjackman marvel superhero superhero
4226,dark mindfuck nonlinear psychology twistending mystery psychological twistending backwards.memory mystery twistending cerebral dreamlike
6283,amazingartwork anime sci-fi
27156,anime endoftheworld epic mecha psychology
193565,anime comedy gintama remaster
4878,atmospheric cultfilm dreamlike hallucinatory psychological surreal timetravel jakegyllenhaal timetravel dreamlike hallucinatory mentalillness psychology socialcommentary teen thought-provoking atmospheric cerebral dreamlike enigmatic hallucinatory mentalillness mindfuck philosophy psychological quirky surreal thought-provoking weird
7147,dreamlike sentimental surreal timburton
7361,alternatereality memory thought-provoking jimcarrey memory cultfilm imagination jimcarrey love surreal arthouse artistic atmospheric beautiful bittersweet colourful comedy dreamlike emotional feel-good happpiness humane insightful intelligent lovely melancholy mind-bending philosophy quirky quirkyromantic romantic surreal surrealism thought-provoking
97938,cinematography india surreal
6938,bigwave surfing
48780,ummarti2006 atmospheric enigmatic
126548,funny highschool
68319,comicbook badplot comicbook hughjackman ryanreynolds toomanycharacters
7020,notablenudity
3,moldy old
527,moving thought-provoking holocaust basedonatruestory biography disturbing holocaust
1101,predictable navy
50872,acleverchefrat inspirational clever inspirational
102007,animation
118696,hope
6711,atmospheric japan
4034,drugs basedonatvshow
4995,mathematics
6502,zombies zombies
6953,depressing
34405,predictable firefly
55721,favelas
83134,blackcomedy
778,basedonabook darkcomedy narrated drugabuse
4612,reciprocalspectator
4708,reciprocalspectator
6400,documentary crime
30892,animation documentary henrydarger
48698,thecatholicchurchisthemostcorruptorganizationinhistory
64034,childishnaivity friendship
68954,adventure bechdeltest:fail cartoon children computeranimation divorce dogs dreams pixar bittersweet emotional heartbreaking touching
71494,narrativepisstake
81158,americanidolatry
82459,atmospheric coenbrothers jeffbridges mattdamon predictable
90769,celebrityfetishism mediacentralism systemholism
96084,citypolitics italy politicalrightversusleft
111364,creaturefeature
118784,documentary musicindustry remixculture
127172,filmhistory poetic representationofchildren
364,disney disneyanimatedfeature oscar(bestmusic-originalscore) soundtrack disney
1288,music heavymetal mockumentary music
1923,benstiller benstiller crudehumor goofy
2616,comicbook
3481,music nickhornby
3897,music journalism music rollingstone
51255,britishcomedy
1,pixar pixar fun
153,superhero superhero
552,knights
1246,highschool highschool
32587,cult
33660,boksdrama boxing
34162,stiller
36529,wapendrama
38798,sisters
2146,post-college
37384,restaurant
40955,transvestite
44889,satire
61323,darkcomedy bradpitt coenbros coenbrothers darkcomedy espionage georgeclooney johnmalkovich satire twists&turns weird
39,chickflick funny paulrudd quotable seenmorethanonce emma janeausten
1059,amazingcinematography leonardodicaprio shakespeare updatedclassics shakespeare
2762,atmospheric brucewillis ghosts imdbtop250 mindfuck stylized twistending ghosts iseedeadpeople
4370,android(s)/cyborg(s) artificialintelligence bittersweet stevenspielberg robots
5464,cinematography tomhanks
7078,bettedavis oscar(bestactress)
7444,markruffalo
7451,clever highschool lesbiansubtext highschool
54997,christianbale
55290,caseyaffleck greatperformances twist
91500,ending
91529,annehathaway christianbale christophernolan comicbook greatending morganfreeman politicalcommentary superhero
98961,afghanistan americanpropaganda assassination military terrorism
32,timetravel timetravel bradpitt brucewillis mindfuck postapocalyptic post-apocalyptic remake timetravel twistending
47,mystery twistending serialkiller
50,mindfuck suspense thriller tricky twistending heist
147,addiction heroin leonardodicaprio markwahlberg
175,controversial newyorkcity nudity(fullfrontal)
223,cynical hilarious independentfilm quirky witty generationx
288,brutality controversial darkcomedy psychedelic satire stylized
541,sci-fi robots androids artificialintelligence atmospheric cyberpunk future mindfuck philipk.dick atmospheric dreamlike existentialism philosophical
589,apocalypse arnoldschwarzenegger nuclearwar sci-fi suspense timetravel robots scifimasterpiece
608,basedonatruestory darkcomedy kidnapping stevebuscemi coenbrothers
628,edwardnorton psychology suspense thought-provoking twistending priest
1089,ensemblecast nonlinear quentintarantino stylized heist violence humorous neo-noir quentintarantino religion tarantino
1120,freedomofexpression
1136,britishcomedy montypython england kingarthur
1193,emotional jacknicholson mentalillness
1198,adventure archaeology indianajones stevenspielberg treasurehunt archaeology arkofthecovenant indianajones
1200,action aliens horror sci-fi space spacecraft spacetravel suspense space
1219,alfredhitchcock psychology suspenseful tense normanbates alfredhitchcock blackandwhite imdbtop250 remade
1240,action artificialintelligence robots sci-fi specialeffects tense timetravel robots
1258,atmospheric disturbing horror jacknicholson masterpiece psychological stanleykubrick suspense stephenking
1343,horror juliettelewis martinscorsese robertdeniro remake
